"id","overtimeDate","duration","status"
"1","2023-10-14","8","zlecenie"
"2","2023-11-04","8","nadgodziny"
"3","2023-11-18","8","nadgodziny"
"4","2023-12-02","8","zlecenie"
"5","2023-12-16","8","nadgodziny"
"6","2024-02-10","8","nadgodziny"
"7","2024-02-24","8","nadgodziny"
"8","2024-04-06","8","nadgodziny"
"9","2024-04-20","8","nadgodziny"
"10","2024-05-18","8","nadgodziny"
"11","2024-06-08","8","zlecenie"
"12","2024-06-25","2","nadgodziny"
"13","2024-06-28","8","nadgodziny"
"14","2024-07-20","8","zlecenie"
"15","2024-07-26","8","nadgodziny"
"21","2024-08-03","8","zlecenie"
"22","2024-08-10","8","nadgodziny"
"23","2024-08-24","8","nadgodziny"
"24","2024-08-31","8","zlecenie"
"25","2024-09-14","8","zlecenie"
"26","2024-09-21","8","zlecenie"
"27","2024-09-27","8","nadgodziny"
"28","2024-09-30","4","nadgodziny"
"29","2024-10-01","4","nadgodziny"
"30","2024-10-02","4","nadgodziny"
"31","2024-10-03","5","nadgodziny"
"32","2024-10-04","4","nadgodziny"
"33","2024-10-05","8","nadgodziny"
"34","2024-10-09","1","nadgodziny"
"35","2024-10-12","8","nadgodziny"
"36","2024-10-15","2","nadgodziny"
"37","2024-10-16","2","nadgodziny"
"38","2024-10-17","2","nadgodziny"
"39","2024-10-18","2","nadgodziny"
"40","2024-10-19","8","nadgodziny"
"41","2024-10-21","2","nadgodziny"
"42","2024-10-22","2","nadgodziny"
"43","2024-10-23","2","nadgodziny"
"44","2024-10-24","2","nadgodziny"
"45","2024-11-09","8","nadgodziny"
"46","2024-11-16","8","nadgodziny"
"47","2024-11-23","8","nadgodziny"
"48","2024-11-30","8","nadgodziny"
"49","2024-12-07","8","nadgodziny"
"50","2024-12-15","8","nadgodziny"
"51","2024-12-17","2","nadgodziny"
"52","2024-12-18","3","nadgodziny"
"53","2024-12-19","2","nadgodziny"
